Day,Month,Year,Genotype,Protein C,Protein D,Treatment,nucleus_id,area [µm$^2$],volume[µm$^3$],extent,solidity,Protein 1,Protein 2,ch_0_PCA_1,ch_0_PCA_2,ch_0_PCA_3,ch_0_PCA_4,ch_0_PCA_5,ch_0_PCA_6,ch_1_PCA_1,ch_1_PCA_2,ch_1_PCA_3,ch_1_PCA_4,ch_1_PCA_5,ch_1_PCA_6,ch_2_PCA_1,ch_2_PCA_2,ch_2_PCA_3,ch_2_PCA_4,ch_2_PCA_5,ch_2_PCA_6
15,3,90,WT,C,D,A+B,08-18,523.6169318789063,936.0202769280002,0.501931401931402,0.9319277853344875,28.872420885026205,10.336960127380083,1.3754987390951654,-0.14579468681597782,0.38341880164677067,-1.4469812589514341,0.21996341077377457,0.594387231636137,0.49238363497938065,-0.7288657108903563,-0.1686743126430056,0.7969920963863699,-0.925556827027351,-1.0997612595065986,-0.5231817075908592,0.24363424945441425,0.6681145791299743,-0.16209260379193022,0.15319167571226155,0.15563257725896662
15,3,90,WT,C,D,A+B,08-19,562.8697837382813,1043.6380796160001,0.523062558356676,0.92968966089506,24.487504462691895,8.38325598000714,1.2012366396455203,-0.60886657571132,0.2826368234503988,-0.6291016862128915,-0.5242811735649774,1.4487517320441845,-0.009123298989900818,-1.19298847711288,0.26550633598107176,0.5925353791932522,-1.3185374622280892,-0.1506874572152595,-0.6596961965748998,0.06872223266023342,0.10831522859306132,-0.23251157275868198,0.07812001158933672,0.502417385790204
15,3,90,WT,C,D,A+B,08-20,546.458430375,1014.6998822400002,0.5601261483614425,0.9423298731257209,25.4750305997552,11.223684210526315,1.0705906135092524,-0.138845895652146,-1.1019603386461192,-0.5785757563386259,0.2973828858272372,-0.44248315639903923,-0.07763911761028469,-1.0138609688766969,-1.034843015256079,-1.3283278457304823,0.29643211328514035,-0.8577114107621229,-0.43867307215644635,0.1406956286165631,0.8123426625237384,0.007816811602398187,0.24872980207551432,0.06864078133523539
15,3,90,WT,C,D,A+B,09-01,558.6861732890626,1073.69406144,0.5544332210998878,0.9473972602739726,30.4679005205321,9.754771544245228,0.5020365966968674,0.10522183949929736,-0.0957132095092826,-0.9928663604961984,1.3234059598849852,0.9952188758424225,1.0274500914469853,-0.33999462735266234,-1.421388876203692,-0.007322117215687903,-0.5160357073349351,-2.9238988407215576,-0.5183714092141324,0.26163873613738603,0.33157429616014317,0.048695776614020025,-0.14650241707681455,0.3502651113062516
15,3,90,WT,C,D,A+B,09-02,640.2100107304688,1282.2850592640002,0.5439386755176229,0.9467241300261336,29.90285243837474,9.497070076032738,0.6577325090920437,-1.4918236650743455,0.6784437214915557,-0.5380487122416168,0.5812431489072547,1.2935564748077588,1.305720580171032,-1.1970389472452188,-0.3479888260947561,1.0196528946236985,0.8723513796792033,-0.3073631150932614,-0.5177084776816715,-0.29328062922441756,0.383684667986067,-0.059581596018178744,0.11020409480639923,0.4782114819206544
15,3,90,WT,C,D,A+B,09-03,603.3887257148438,1147.7162315520002,0.5781406406406406,0.9445977716446897,29.699112650146088,9.623579699166758,1.1667339731581015,-1.647228598565595,1.1445447785165455,-2.5184770973995465,-0.3312762934211699,0.95829129291752,0.8394867053953353,-1.320183487941557,0.07655432705802334,2.907505036524922,-1.2357325236780723,-0.12350397418148733,-0.5264729353039093,-0.19914632977860686,0.1836565887006851,-0.503648471064914,0.6504747930599927,0.47293904881952625
15,3,90,WT,C,D,A+B,09-04,554.9279109257812,1008.5520677760003,0.5567324832030714,0.9425454123382276,25.650021550397142,6.583215319253741,1.9291549334151432,-1.5974225393412966,-0.28788943693901436,-0.7050088122324765,1.2333563786603632,-1.5732269311039304,0.6771363633447895,-1.3162356703995197,0.7338726598484968,2.5846677667693267,0.2969318891920345,0.27990282450667875,-0.7199193258946486,0.350371138657305,-0.2591889233577049,-0.33085894616848244,-0.15421796540100072,0.4744707892041908
15,3,90,WT,C,D,A+B,09-05,565.8440043867188,1069.2850227840001,0.5787899159663865,0.9438688812147125,33.9214820837447,12.283407863406701,1.1623957403738068,-0.7387627588791328,-1.1384563380637365,-0.008897402412604921,-0.1253180391234441,0.11298970348861768,1.4177050867910692,-0.5532575019178017,-1.5712570093010616,-0.20089055333844585,0.3322530722610998,0.48534940743074617,-0.3071055697911424,0.1172205579279913,0.5524323787166459,-0.041278046508778504,-0.06324088502870302,0.34372790377230966
15,3,90,WT,C,D,A+B,09-06,587.6037175078126,1116.294068736,0.5338877338877339,0.9394303632087797,30.592345349354694,10.674899866488651,0.9255895982722143,-0.6824092300202039,0.9088106772129059,-0.7363381939882602,-0.6258391894801,-0.7231746221339748,1.2124708130867339,-0.9194195356196257,-0.17514652406476086,-0.19292083747655792,1.0861746557877037,0.8172272132073515,-0.38721773882493793,0.18157404625525472,0.4222248972663521,0.4035490067589288,0.34150448429758895,0.49488882009193064
15,3,90,WT,C,D,A+B,09-07,469.5574106953125,807.5992636800001,0.5275862068965518,0.9406191233907132,38.47274125336409,11.399231064975009,1.2950471661738565,1.3085217706248005,0.7372391183562776,-0.9877398931802428,1.802746900253474,-2.1511598132761978,2.2688397622924836,0.8501984610454436,0.1321291877461349,-0.3721533137435482,0.9054210365387205,-1.611891249939618,-0.4854369880042334,0.10371528365073832,0.4815746734418317,-0.04556903509128872,0.08172698374630626,0.11590251837143427
